+-----------+-------------------+----------+---------------------------------------+---------------+-------------------+-------------+
| Year      | dep_name          | DRG_code | provider_name                         | Expected Cost | Additional Charge | Income      |
+-----------+-------------------+----------+---------------------------------------+---------------+-------------------+-------------+
| 2025      | Cardiology        | S01Α     | Ergo Ασφαλιστική                      |          5400 |           5400.00 |    10800.00 |
| 2025      | Cardiology        | S01Α     | All Providers                         |          5400 |           5400.00 |    10800.00 |
| 2025      | Cardiology        | S21Χ     | Eurolife FFH                          |          2320 |           2320.00 |     4640.00 |
| 2025      | Cardiology        | S21Χ     | All Providers                         |          2320 |           2320.00 |     4640.00 |
| 2025      | Cardiology        | Β22Α     | Ergo Ασφαλιστική                      |          5450 |              0.00 |     5450.00 |
| 2025      | Cardiology        | Β22Α     | All Providers                         |          5450 |              0.00 |     5450.00 |
| 2025      | Cardiology        | Δ13Χ     | Ergo Ασφαλιστική                      |          9150 |           4575.00 |    13725.00 |
| 2025      | Cardiology        | Δ13Χ     | All Providers                         |          9150 |           4575.00 |    13725.00 |
| 2025      | Cardiology        | Δ23Μ     | Intersalonika                         |         28950 |          11580.00 |    40530.00 |
| 2025      | Cardiology        | Δ23Μ     | All Providers                         |         28950 |          11580.00 |    40530.00 |
| 2025      | Cardiology        | Η02Μα    | Generali Hellas                       |         51110 |           6012.94 |    57122.94 |
| 2025      | Cardiology        | Η02Μα    | All Providers                         |         51110 |           6012.94 |    57122.94 |
| 2025      | Cardiology        | Η05Χ     | Euroins                               |         13930 |           6965.00 |    20895.00 |
| 2025      | Cardiology        | Η05Χ     | All Providers                         |         13930 |           6965.00 |    20895.00 |
| 2025      | Cardiology        | Θ04Χ     | Anytime                               |         28480 |          14240.00 |    42720.00 |
| 2025      | Cardiology        | Θ04Χ     | All Providers                         |         28480 |          14240.00 |    42720.00 |
| 2025      | Cardiology        | Κ09Μα    | Prime Insurance                       |         64130 |           6413.00 |    70543.00 |
| 2025      | Cardiology        | Κ09Μα    | All Providers                         |         64130 |           6413.00 |    70543.00 |
| 2025      | Cardiology        | Κ10Μ     | Ευρωπαϊκή Πίστη                       |         41660 |              0.00 |    41660.00 |
| 2025      | Cardiology        | Κ10Μ     | All Providers                         |         41660 |              0.00 |    41660.00 |
| 2025      | Cardiology        | Κ11Μ     | Personal Insurance                    |         72920 |              0.00 |    72920.00 |
| 2025      | Cardiology        | Κ11Μ     | All Providers                         |         72920 |              0.00 |    72920.00 |
| 2025      | Cardiology        | Κ40Μ     | Prime Insurance                       |         20000 |              0.00 |    20000.00 |
| 2025      | Cardiology        | Κ40Μ     | All Providers                         |         20000 |              0.00 |    20000.00 |
| 2025      | Cardiology        | Κ46Χ     | Intersalonika                         |          4440 |           2220.00 |     6660.00 |
| 2025      | Cardiology        | Κ46Χ     | All Providers                         |          4440 |           2220.00 |     6660.00 |
| 2025      | Cardiology        | Κ47Α     | Eurolife FFH                          |         24230 |           8076.67 |    32306.67 |
| 2025      | Cardiology        | Κ47Α     | All Providers                         |         24230 |           8076.67 |    32306.67 |
| 2025      | Cardiology        | Μ03Μ     | NN Hellas                             |         63070 |              0.00 |    63070.00 |
| 2025      | Cardiology        | Μ03Μ     | All Providers                         |         63070 |              0.00 |    63070.00 |
| 2025      | Cardiology        | Μ12Χ     | NN Hellas                             |         16650 |              0.00 |    16650.00 |
| 2025      | Cardiology        | Μ12Χ     | All Providers                         |         16650 |              0.00 |    16650.00 |
| 2025      | Cardiology        | Ν21Μ     | Interamerican                         |         49600 |              0.00 |    49600.00 |
| 2025      | Cardiology        | Ν21Μ     | All Providers                         |         49600 |              0.00 |    49600.00 |
| 2025      | Cardiology        | Ο14Α     | Ορίζων Ασφαλιστική                    |          4060 |           8120.00 |    12180.00 |
| 2025      | Cardiology        | Ο14Α     | All Providers                         |          4060 |           8120.00 |    12180.00 |
| 2025      | Cardiology        | Υ09Χβ    | Groupama Ασφαλιστική                  |         10350 |          20700.00 |    31050.00 |
| 2025      | Cardiology        | Υ09Χβ    | All Providers                         |         10350 |          20700.00 |    31050.00 |
| 2025      | Cardiology        | Υ20Μα    | Euroins                               |         29340 |              0.00 |    29340.00 |
| 2025      | Cardiology        | Υ20Μα    | All Providers                         |         29340 |              0.00 |    29340.00 |
| 2025      | Cardiology        | Χ48Α     | Intersalonika                         |         32610 |              0.00 |    32610.00 |
| 2025      | Cardiology        | Χ48Α     | All Providers                         |         32610 |              0.00 |    32610.00 |
