+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| substance                                                                                                                                                                                                                                   | count_allergic_patients | count_medicine |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+----------------+
| Magnesium Pidolate                                                                                                                                                                                                                          |                       3 |             10 |
| Insulin Aspart                                                                                                                                                                                                                              |                       2 |             17 |
| Mycophenolate Sodium                                                                                                                                                                                                                        |                       2 |              2 |
| Ospemifene                                                                                                                                                                                                                                  |                       2 |              1 |
| Alfuzosin Hydrochloride                                                                                                                                                                                                                     |                       2 |             97 |
| Naftazone                                                                                                                                                                                                                                   |                       2 |              2 |
| Cefepime Hydrochloride                                                                                                                                                                                                                      |                       2 |              3 |
| Unip.                                                                                                                                                                                                                                       |                       2 |              1 |
| Gemeiner                                                                                                                                                                                                                                    |                       2 |              2 |
| Chlorobutanol Bp                                                                                                                                                                                                                            |                       2 |              1 |
| Cefazolin                                                                                                                                                                                                                                   |                       2 |             34 |
| Bimekizumab                                                                                                                                                                                                                                 |                       2 |              1 |
| Zinc-Bis(Hydrogen-Dl-Aspartate)                                                                                                                                                                                                             |                       2 |              2 |
| Hexaminolevulinate Hydrochloride                                                                                                                                                                                                            |                       2 |              1 |
| Dimethylol Urea/Phenol Sodium Phenolsulfonate Copolymer                                                                                                                                                                                     |                       1 |              1 |
| Tianeptine Sodium                                                                                                                                                                                                                           |                       1 |             20 |
| Tolfenamic Acid                                                                                                                                                                                                                             |                       1 |              3 |
| Nalbuphine Hydrochloride                                                                                                                                                                                                                    |                       1 |              7 |
| Brome Pollen                                                                                                                                                                                                                                |                       1 |              1 |
| Liquid Extract Of Thyme Herb (1:1). Extraction Solvent: Ethanol 30% V/V                                                                                                                                                                     |                       1 |              2 |
| Zincum Isovalerianicum Dil. D3                                                                                                                                                                                                              |                       1 |              1 |
| Benazepril Hydrochloride                                                                                                                                                                                                                    |                       1 |              7 |
| Cisatracurium                                                                                                                                                                                                                               |                       1 |             10 |
| Pyridoxine Hydrochloride                                                                                                                                                                                                                    |                       1 |             30 |
| Diethylstilbestrol                                                                                                                                                                                                                          |                       1 |              1 |
| Chamomilla Vulgaris 9ch                                                                                                                                                                                                                     |                       1 |              1 |
| Betula Verrucosa Pollen                                                                                                                                                                                                                     |                       1 |              6 |
| Citronellol                                                                                                                                                                                                                                 |                       1 |              1 |
| Hepatitis A Virus (Inactivated)                                                                                                                                                                                                             |                       1 |              2 |
| Remifentanil                                                                                                                                                                                                                                |                       1 |             24 |
| Soybean Phospholipids                                                                                                                                                                                                                       |                       1 |              3 |
| Glucagon                                                                                                                                                                                                                                    |                       1 |              6 |
| Fezolinetant                                                                                                                                                                                                                                |                       1 |              1 |
| Phospholipids From Soya Beans                                                                                                                                                                                                               |                       1 |              7 |
| Bazedoxifene                                                                                                                                                                                                                                |                       1 |              1 |
| Flecainide Acetate                                                                                                                                                                                                                          |                       1 |             74 |
| Beta-Acetyldigoxin                                                                                                                                                                                                                          |                       1 |              2 |
| Povidone K25                                                                                                                                                                                                                                |                       1 |              5 |
| Sardine                                                                                                                                                                                                                                     |                       1 |              1 |
| Alectinib Hydrochloride                                                                                                                                                                                                                     |                       1 |              1 |
| Indium (111in) Pentetreotide                                                                                                                                                                                                                |                       1 |              2 |
| Dry Extract Of Cimicifuga Rhizome (Der 4.5-8.5:1)                                                                                                                                                                                           |                       1 |              1 |
| Lithium Chloride                                                                                                                                                                                                                            |                       1 |              7 |
| Zolpidem Tartrate                                                                                                                                                                                                                           |                       1 |            101 |
| Ethambutol                                                                                                                                                                                                                                  |                       1 |              3 |
| Magnesium Aspartate Dihydrate                                                                                                                                                                                                               |                       1 |              9 |
| Aztreonam                                                                                                                                                                                                                                   |                       1 |              4 |
| Pressed Juice From Fresh Flowering Purple Coneflower Herb (1.5-2.5:1)                                                                                                                                                                       |                       1 |              1 |
| Tranexamic Acid                                                                                                                                                                                                                             |                       1 |            110 |
| Ceftizoxime Sodium                                                                                                                                                                                                                          |                       1 |              2 |
| Belladonna Alkaloids                                                                                                                                                                                                                        |                       1 |              2 |
| Pegfilgrastim                                                                                                                                                                                                                               |                       1 |             11 |
| Bosentan Monohydrate                                                                                                                                                                                                                        |                       1 |             15 |
| Refined Dry Extract Of Vaccinium Macrocarpon Fruit Juice                                                                                                                                                                                    |                       1 |              1 |
| Allergen Extracts – Food                                                                                                                                                                                                                    |                       1 |              1 |
| Human Varicella Immunoglobulin                                                                                                                                                                                                              |                       1 |              2 |
| Methylprednisolone Acetate                                                                                                                                                                                                                  |                       1 |              4 |
| Trimetazidine Dihydrochloride                                                                                                                                                                                                               |                       1 |             36 |
| Potassium Ion                                                                                                                                                                                                                               |                       1 |              1 |
| Cimetidine Ph. Eur.                                                                                                                                                                                                                         |                       1 |              2 |
| Fruquintinib                                                                                                                                                                                                                                |                       1 |              1 |
| Indapamide Hemihydrate                                                                                                                                                                                                                      |                       1 |             13 |
| Lisdexamfetamine Dimesylate                                                                                                                                                                                                                 |                       1 |             65 |
| Amoxicillin Sodium                                                                                                                                                                                                                          |                       1 |              2 |
| Citicoline                                                                                                                                                                                                                                  |                       1 |             20 |
| Formoterol Fumarate Dihydrate                                                                                                                                                                                                               |                       1 |             51 |
| Capsella Bursa-Pastoris                                                                                                                                                                                                                     |                       1 |              1 |
| Viscum Album Aceris Ex Herba Recente Col. D10                                                                                                                                                                                               |                       1 |              1 |
| Atosiban Acetate                                                                                                                                                                                                                            |                       1 |              2 |
| Ganirelix                                                                                                                                                                                                                                   |                       1 |             16 |
| Sodium Polystyrene Sulfonate                                                                                                                                                                                                                |                       1 |             11 |
| Etidronate Disodium                                                                                                                                                                                                                         |                       1 |              2 |
| Calcium Trisodium Pentetate                                                                                                                                                                                                                 |                       1 |              4 |
| Cefradine Ph. Eur.                                                                                                                                                                                                                          |                       1 |              2 |
| Picotamide Monohydrate                                                                                                                                                                                                                      |                       1 |              1 |
| Donidalorsen                                                                                                                                                                                                                                |                       1 |              1 |
| Thyme                                                                                                                                                                                                                                       |                       1 |              9 |
| Elymus Repens                                                                                                                                                                                                                               |                       1 |              2 |
| Validolum                                                                                                                                                                                                                                   |                       1 |              1 |
| Risedronate Monosodium Hemi-Pentahydrate                                                                                                                                                                                                    |                       1 |             25 |
| Eberconazole                                                                                                                                                                                                                                |                       1 |              1 |
| Isoniazid Bp                                                                                                                                                                                                                                |                       1 |              1 |
| Ketorolac                                                                                                                                                                                                                                   |                       1 |              0 |
| Anhydrous Azithromycin                                                                                                                                                                                                                      |                       1 |              2 |
| Nusinersen                                                                                                                                                                                                                                  |                       1 |              1 |
| Perampanel                                                                                                                                                                                                                                  |                       1 |             25 |
| Dry Extract From Cimicifugae Racemosae Rhizoma                                                                                                                                                                                              |                       1 |              1 |
| Josamycin                                                                                                                                                                                                                                   |                       1 |              1 |
| Vinburnine                                                                                                                                                                                                                                  |                       1 |              2 |
