+-------------------+------------+------------+---------------+----------------------------------------+----------------------+
| dep_name          | date       | shift_type | staff_type    | subclass_detail                        | required_staff_count |
+-------------------+------------+------------+---------------+----------------------------------------+----------------------+
| Cardiology        | 2026-01-01 | morning    | administrator | Έκδοση τιμολογίων                      |                    1 |
| Cardiology        | 2026-01-01 | morning    | administrator | Τήρηση αρχείου                         |                    1 |
| Cardiology        | 2026-01-01 | morning    | doctor        | Γαστρεντερολογία                       |                    1 |
| Cardiology        | 2026-01-01 | morning    | doctor        | Παιδιατρική                            |                    1 |
| Cardiology        | 2026-01-01 | morning    | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-01 | morning    | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-01 | morning    | nurse         | supervisor                             |                    3 |
| Cardiology        | 2026-01-01 | night      | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Cardiology        | 2026-01-01 | night      | administrator | Παραγγελίες                            |                    1 |
| Cardiology        | 2026-01-01 | night      | doctor        | Γυναικολογία                           |                    1 |
| Cardiology        | 2026-01-01 | night      | doctor        | Ορθοπεδική                             |                    1 |
| Cardiology        | 2026-01-01 | night      | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-01 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-01 | night      | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-01 | night      | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-01 | noon       | administrator | Έλεγχος ταμείου                        |                    1 |
| Cardiology        | 2026-01-01 | noon       | administrator | Οργάνωση γραφείου                      |                    1 |
| Cardiology        | 2026-01-01 | noon       | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-01 | noon       | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-01 | noon       | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-01 | noon       | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-01 | noon       | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-01 | noon       | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-02 | morning    | administrator | Αρχειοθέτηση                           |                    1 |
| Cardiology        | 2026-01-02 | morning    | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-02 | morning    | doctor        | Γενική Ιατρική                         |                    1 |
| Cardiology        | 2026-01-02 | morning    | doctor        | Οφθαλμολογία                           |                    1 |
| Cardiology        | 2026-01-02 | morning    | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-02 | morning    | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-02 | morning    | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-02 | morning    | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-02 | night      | administrator | Έλεγχος ταμείου                        |                    1 |
| Cardiology        | 2026-01-02 | night      | administrator | Υποδοχή κοινού                         |                    1 |
| Cardiology        | 2026-01-02 | night      | doctor        | Αιματολογία                            |                    1 |
| Cardiology        | 2026-01-02 | night      | doctor        | Γαστρεντερολογία                       |                    1 |
| Cardiology        | 2026-01-02 | night      | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-02 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-02 | night      | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-02 | night      | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-02 | noon       | administrator | Έλεγχος εγγράφων                       |                    1 |
| Cardiology        | 2026-01-02 | noon       | administrator | Έλεγχος μισθών                         |                    1 |
| Cardiology        | 2026-01-02 | noon       | doctor        | Καρδιολογία                            |                    1 |
| Cardiology        | 2026-01-02 | noon       | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-02 | noon       | doctor        | Παιδιατρική                            |                    1 |
| Cardiology        | 2026-01-02 | noon       | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-02 | noon       | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-02 | noon       | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-03 | morning    | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-03 | morning    | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Cardiology        | 2026-01-03 | morning    | doctor        | Ακτινολογία                            |                    1 |
| Cardiology        | 2026-01-03 | morning    | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-03 | morning    | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-03 | morning    | nurse         | assistant nurse                        |                    4 |
| Cardiology        | 2026-01-03 | morning    | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-03 | morning    | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-03 | night      | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-03 | night      | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Cardiology        | 2026-01-03 | night      | doctor        | Γυναικολογία                           |                    1 |
| Cardiology        | 2026-01-03 | night      | doctor        | Ορθοπεδική                             |                    1 |
| Cardiology        | 2026-01-03 | night      | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-03 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-03 | night      | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-03 | night      | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-03 | noon       | administrator | Έλεγχος εισαγωγών                      |                    1 |
| Cardiology        | 2026-01-03 | noon       | administrator | Υποδοχή κοινού                         |                    1 |
| Cardiology        | 2026-01-03 | noon       | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-03 | noon       | doctor        | Πνευμονολογία                          |                    1 |
| Cardiology        | 2026-01-03 | noon       | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-03 | noon       | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-03 | noon       | nurse         | supervisor                             |                    4 |
| Cardiology        | 2026-01-04 | morning    | administrator | Έλεγχος ΑΜΚΑ                           |                    1 |
| Cardiology        | 2026-01-04 | morning    | administrator | Παραγγελίες                            |                    1 |
| Cardiology        | 2026-01-04 | morning    | doctor        | Γενική Ιατρική                         |                    1 |
| Cardiology        | 2026-01-04 | morning    | doctor        | Οφθαλμολογία                           |                    1 |
| Cardiology        | 2026-01-04 | morning    | doctor        | Παθολογία                              |                    1 |
| Cardiology        | 2026-01-04 | morning    | nurse         | assistant nurse                        |                    2 |
| Cardiology        | 2026-01-04 | morning    | nurse         | nurse                                  |                    3 |
| Cardiology        | 2026-01-04 | morning    | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-04 | night      | administrator | Έκδοση τιμολογίων                      |                    1 |
| Cardiology        | 2026-01-04 | night      | administrator | Οργάνωση γραφείου                      |                    1 |
| Cardiology        | 2026-01-04 | night      | doctor        | Αιματολογία                            |                    1 |
| Cardiology        | 2026-01-04 | night      | doctor        | Γαστρεντερολογία                       |                    1 |
| Cardiology        | 2026-01-04 | night      | doctor        | Πνευμονολογία                          |                    1 |
| Cardiology        | 2026-01-04 | night      | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-04 | night      | nurse         | nurse                                  |                    2 |
| Cardiology        | 2026-01-04 | night      | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-04 | noon       | administrator | Κλείσιμο ραντεβού                      |                    1 |
| Cardiology        | 2026-01-04 | noon       | administrator | Τήρηση αρχείου                         |                    1 |
| Cardiology        | 2026-01-04 | noon       | doctor        | Καρδιολογία                            |                    1 |
| Cardiology        | 2026-01-04 | noon       | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-04 | noon       | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-04 | noon       | nurse         | assistant nurse                        |                    3 |
| Cardiology        | 2026-01-04 | noon       | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-04 | noon       | nurse         | supervisor                             |                    2 |
| Cardiology        | 2026-01-05 | morning    | administrator | Οργάνωση γραφείου                      |                    1 |
| Cardiology        | 2026-01-05 | morning    | administrator | Τήρηση αρχείου                         |                    1 |
| Cardiology        | 2026-01-05 | morning    | doctor        | Νευρολογία                             |                    1 |
| Cardiology        | 2026-01-05 | morning    | doctor        | Ψυχιατρική                             |                    1 |
| Cardiology        | 2026-01-05 | morning    | doctor        | Ωτορινολαρυγγολογία                    |                    1 |
| Cardiology        | 2026-01-05 | morning    | nurse         | assistant nurse                        |                    4 |
| Cardiology        | 2026-01-05 | morning    | nurse         | nurse                                  |                    1 |
| Cardiology        | 2026-01-05 | morning    | nurse         | supervisor                             |                    1 |
| Cardiology        | 2026-01-05 | night      | administrator | Αρχειοθέτηση                           |                    1 |
| Cardiology        | 2026-01-05 | night      | administrator | Επικοινωνία ΕΟΠΥΥ                      |                    1 |
| Cardiology        | 2026-01-05 | night      | doctor        | Ορθοπεδική                             |                    1 |
| Cardiology        | 2026-01-05 | night      | doctor        | Ψυχιατρική                             |                    1 |
