+---------+--------------+-----------+----------------------------+---------+-------------------+-----------+
| urgency | distribution | mean_wait | hospitalization_percentage | urgency | dep_name          | dep_distr |
+---------+--------------+-----------+----------------------------+---------+-------------------+-----------+
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Cardiology        |         6 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Emergency         |         8 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Gastroenterology  |         6 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Gynecology        |         8 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | ICU               |         5 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Internal Medicine |         5 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Microbiology      |        15 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Neurology         |         3 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Ophthalmology     |         1 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Orthopedics       |         4 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Pediatrics        |         9 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Pulmonology       |         5 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Radiology         |         6 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Surgery           |         9 |
|       1 |          112 |    5.2872 |                    83.9286 |       1 | Urology           |         2 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Cardiology        |         3 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Emergency         |         7 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Gastroenterology  |         6 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Gynecology        |         6 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | ICU               |         9 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Internal Medicine |         4 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Microbiology      |         3 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Neurology         |         7 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Ophthalmology     |         7 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Orthopedics       |         3 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Pediatrics        |         6 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Pulmonology       |         8 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Radiology         |         7 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Surgery           |         5 |
|       2 |          112 |   14.5269 |                    83.0357 |       2 | Urology           |        10 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Cardiology        |         8 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Emergency         |         7 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Gastroenterology  |         7 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Gynecology        |        10 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | ICU               |         9 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Internal Medicine |         9 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Microbiology      |         9 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Neurology         |         9 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Ophthalmology     |         8 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Orthopedics       |         6 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Pediatrics        |         4 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Pulmonology       |         5 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Radiology         |        16 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Surgery           |         6 |
|       3 |          140 |   24.6475 |                    87.1429 |       3 | Urology           |         7 |
