DRG_code;description;cost;ALOS
Ε01Α;Μεταμόσχευση ήπατος;289070.0;26
Ε03Α;Μεταμόσχευση  καρδιάς- πνευμόνων;503790.0;35
Ε04Α;Μεταμοσχεύσεις Πνευμόνων;300150.0;20
Ε05Α;Μεταμόσχευση Καρδιάς;342790.0;40
Ε06Μ;Τραχειοστομία με μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές;398630.0;47
Ε06Χα;Τραχειοστομία με  μηχανική υποστήριξη αναπνοής > 95 ώρες χωρίς καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές ή τραχειοστομία/(ή)μηχανική υποστήριξη αναπνοής > 95 ώρες με καταστροφικές συνυπάρχουσες  παθήσεις-επιπλοκές;205970.0;25
Ε06Χβ;Μηχανική υποστήριξη αναπνοής > 95 ώρες  χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές;155480.0;16
Ε06Χγ;Τραχειοστομία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές;82610.0;15
Ε07Α;Αλλογενής μεταμόσχευση μυελού οστών;265080.0;34
Ε08Μ;Αυτόλογη μεταμόσχευση μυελού οστών με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;100170.0;24
Ε08Χ;Αυτόλογη μεταμόσχευση μυελού οστών χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;36830.0;10
Ε09Α;Μεταμόσχευση νεφρού+παγκρέατος;153460.0;16
Ε09Β;Μεταμόσχευση νεφρού χωρίς μεταμόσχευση παγκρέατος;96690.0;8
Ε09Γ;Μεταμόσχευση παγκρέατος;107060.0;15
Ε10Α;Εμφύτευση συσκευών κοιλιακής υποβοήθησης;940090.0;54
Ε11Μ;Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης με  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;107040.0;15
Ε11Χ;Τοποθέτηση εμφυτεύσιμων συσκευών έγχυσης  σπονδυλικής στήλης  χωρίς  καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές;53020.0;6
Ε12Α;Εμφύτευση συσκευής νευροδιέγερσης;64140.0;3
Ε13Α;Εξωσωματική συσκευή οξυγόνωσης ECMO;370630.0;31
Ν01Μ;Επανεπέμβαση κοιλιακής παροχεύτεσης με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές;25280.0;7
Ν01Χ;Επανεπέμβαση κοιλιακής παροχεύτεσης χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές;19800.0;5
Ν02Μα;Επεμβάσεις κρανίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές;77300.0;18
Ν02Μβ;Επεμβάσεις κρανίου με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές;47210.0;11
Ν02Χ;Επεμβάσεις κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές;38360.0;7
