medicine_name,substance_name
A.A.S,Acetylsalicylic Acid
A.A.S.,Acetylsalicylic Acid
A.Vogel Hyperiforce,Hypericum Perforatum L.
Aaa Sore Throat,Benzocaine
Aacidexam,Dexamethasone Base
Aacidexam,Dexamethasone Sodium Phosphate
Aacifemine,Estriol
Aas,Acetylsalicylic Acid
Abacavir Accord,Abacavir
Abacavir Arrow,Abacavir
Abacavir Aurobindo,Abacavir
Abacavir Farmoz,Abacavir
Abacavir Generis,Abacavir
Abacavir Milpharm,Abacavir
Abacavir Mylan,Abacavir
Abacavir Sandoz,Abacavir
Abacavir Tarbis,Abacavir
Abacavir Viatris,Abacavir
Abagat,Dabigatran Etexilate
Abaktal,Pefloxacin
Abaktal,Pefloxacin Mesilate Dihydrate
Abalon,Paracetamol
Aban,Rivaroxaban
Abasaglar,Insulin Glargine
Abasaglar Kwikpen,Insulin Glargine
Abasaglar Tempo Pen,Insulin Glargine
Abatixent,Apixaban
Abator,Atorvastatin
Abattra,Fentanyl
Abavalex,Brivaracetam
Abaxan,Abiraterone Acetate
Abbonate,Tranylcypromine
Abboticin,Erythromycin
Abboticin,Erythromycin Ethylsuccinate
Abboticin,Erythromycin Lactobionate
Abboticin,Erythromycin Stearate
Abboticin Es,Erythromycin Ethylsuccinate
Abboticin Novum,Erythromycin
Abboticin Novum,Erythromycin Ethylsuccinate
Abc Lokale Schmerz-Therapie Wärme,Capsaicin
Abc Lokale Schmerz-Therapie Wärme-Pflaster,Cayenne Pepper Soft Extract
Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies,Nonivamide
Abdine Cold Relief,Paracetamol Bp
Abdine Hot Lemon Cold Relief,Paracetamol Bp
Abeced,Sildenafil Citrate
Abecma,Idecabtagene Vicleucel
Abedel,Sildenafil
Abelcet,Amphotericin B
Abelcet Complejo Lipídico,Amphotericin B
Abelcet Lipid Complex,Amphotericin B
Abelfiz,Aripiprazole
Abemax,Rosuvastatin Calcium
Abemot,Prucalopride
Abendur,Bendroflumethiazide
Aberipra,Aripiprazole
Abernil,Naltrexone Hydrochloride
Abesart,Irbesartan
Abesyl,Amlodipine
Abevmy,Bevacizumab
Abfentiq,Fentanyl Citrate
Abführ Tee,Sennae Folium
Abführpulver,Magnesium Sulfate Heptahydrate
Abführtee,Sennae Folium
Abführtee-Sennesblätter N,Sennae Folium
Abiano,Metformin Hydrochloride
Abibam®,Abiraterone Acetate
Abidalo,Apixaban
Abidol,Ibuprofen
Abietinsäure,Abietic Acid
Abigerd,Esomeprazole Magnesium Dihydrate
Abik,Aripiprazole
Abilify,Aripiprazole
Abilify Maintena,Aripiprazole
Abilium,Aripiprazole
Abimono,Isoconazole Nitrate
Abimox,Moxifloxacin
Abinone,Abiraterone Acetate
Abiox,Moxifloxacin Hydrochloride
Abipol,Aripiprazole
Abiprost,Bimatoprost
Abiprostem,Abiraterone Acetate
Abiral,Abiraterone Acetate
Abiranio,Abiraterone
Abirasolon-Mcrpc Kombipackung,Abiraterone Acetate
Abirasolon-Mcrpc Kombipackung,Prednisolone
Abirasolon-Mhspc Kombipackung,Abiraterone Acetate
Abirasolon-Mhspc Kombipackung,Prednisolone
Abiratel,Abiraterone Acetate
Abirateron,Abiraterone
Abirateron +pharma,Abiraterone Acetate
Abirateron 123-Acurae Pharma,Abiraterone Acetate
Abirateron 1a Pharma,Abiraterone Acetate
Abirateron Abdi,Abiraterone Acetate
Abirateron Acino,Abiraterone Acetate
Abirateron Al,Abiraterone Acetate
Abirateron Alpha-Medical,Abiraterone Acetate
Abirateron Amarox,Abiraterone Acetate
Abirateron Aristo,Abiraterone Acetate
Abirateron Ashcure,Abiraterone
Abirateron Ashcure,Abiraterone Acetate
Abirateron Avansor,Abiraterone Acetate
Abirateron Axiromed,Abiraterone Acetate
Abirateron Beta,Abiraterone Acetate
Abirateron Betapharm,Abiraterone Acetate
Abirateron Bluepharma,Abiraterone Acetate
Abirateron Cf,Abiraterone Acetate
Abirateron Cipla,Abiraterone Acetate
Abirateron Devatis,Abiraterone
Abirateron Devatis,Abiraterone Acetate
Abirateron Eg,Abiraterone Acetate
Abirateron G.L.,Abiraterone Acetate
Abirateron Galenika,Abiraterone Acetate
Abirateron Glenmark,Abiraterone Acetate
Abirateron Heumann,Abiraterone Acetate
Abirateron Hexal,Abiraterone Acetate
Abirateron Holsten,Abiraterone Acetate
Abirateron Leon Farma,Abiraterone Acetate
Abirateron Medac,Abiraterone Acetate
Abirateron Medical Valley,Abiraterone Acetate
