OR_number;image_url;im_description
1;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
2;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
3;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
4;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
5;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
6;Images/OR.png;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
7;Images/OR.png;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
8;Images/OR.png;Τεχνολογία αιχμής για επεμβάσεις ακρίβειας.
9;Images/OR.png;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
10;Images/OR.png;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
11;Images/OR.png;Υπερσύγχρονη αίθουσα με ρομποτικό σύστημα.
12;Images/OR.png;Πλήρως εξοπλισμένη για καρδιοχειρουργικές επεμβάσεις.
13;Images/OR.png;Αίθουσα αρνητικής πίεσης για μεταδοτικά νοσήματα.
14;Images/OR.png;Προηγμένο σύστημα απεικόνισης για νευροχειρουργική.
15;Images/OR.png;Ειδικά σχεδιασμένη για παιδοχειρουργική.
16;Images/OR.png;Αίθουσα υβριδικών επεμβάσεων με αγγλειογράφο.
17;Images/OR.png;Μονάδα εντατικής παρακολούθησης μετεγχειρητικά.
18;Images/OR.png;Αίθουσα ελάχιστα επεμβατικής χειρουργικής.
